Resumen de incidencia;Horas registradas;Fecha de trabajo;Fecha;Hora Registro;Hasta;Cliente;Descripción del Trabajo;Clave Padre
Documentación y montaje ejemplos y servicio para consulta de datos;0,5;2025-03-05 15:30;2025-03-05;15:30;16:00;IE;Preparación ejemplos con diferentes datasets de perfiles y eventos. Sesión con rafa para definir consultas;IE70-98
Documentación y montaje ejemplos y servicio para consulta de datos;2,0;2025-03-06 06:00;2025-03-06;06:00;8:00;IE;Documentación de todas las pruebas que se realizaron, de los ajuste realizados de acuerdo a las recomendaciones de Rafa y ajuste servicio de ejemplo con configuración de credenciales que no expiran;IE70-98
IE-Daily;0,25;2025-03-06 08:00;2025-03-06;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Documentación y montaje ejemplos y servicio para consulta de datos;0,5;2025-03-06 08:15;2025-03-06;08:15;8:45;IE;Documentación de todas las pruebas que se realizaron, de los ajuste realizados de acuerdo a las recomendaciones de Rafa y ajuste servicio de ejemplo con configuración de credenciales que no expiran;IE70-98
sesion con cliente;0,75;2025-03-06 09:30;2025-03-06;09:30;10:15;IE;"HERA | Definiciones Data Lake - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Clara Pizarro Valle <clara.pi";IE70-98
Seguimiento limitaciones api marketo;1,0;2025-03-07 06:00;2025-03-07;06:00;7:00;IE;Se revisa e investiga correo por limitaciones api;IE70-181
Sesión cliente;1,0;2025-03-07 07:00;2025-03-07;07:00;8:00;IE;"HERA | Presentación de casos de uso Marketing - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Clara Pizarro Valle <clara.pi";IE70-144
Seguimiento limitaciones api marketo;0,75;2025-03-07 08:00;2025-03-07;08:00;8:45;IE;Investigación;IE70-181
Seguimiento limitaciones api marketo;1,25;2025-03-07 08:45;2025-03-07;08:45;10:00;IE;Revisión documentación Marketo API y bulks service;IE70-181
Seguimiento limitaciones api marketo;1,5;2025-03-07 10:00;2025-03-07;10:00;11:30;IE;Busqueda alternativas por SOAP para consulta eventos Marketo;IE70-181
Seguimiento limitaciones api marketo;1;2025-03-07 11:30;2025-03-07;11:30;12:30;IE;Sesión con Andrea y nelson para soluciones problema;IE70-181
Seguimiento limitaciones api marketo;0,75;2025-03-07 13:30;2025-03-07;13:30;14:15;IE;Revisión servicio bulk;IE70-181
Seguimiento limitaciones api marketo;0,75;2025-03-07 14:15;2025-03-07;14:15;15:00;IE;Prueba tiempos por postman a la api de Marketo;IE70-181
Seguimiento limitaciones api marketo;1;2025-03-07 15:00;2025-03-07;15:00;16:00;IE;Preparación y envío correo solicitud cambio limite api;IE70-181
Seguimiento limitaciones api marketo;0,5;2025-03-10 06:00;2025-03-10;06:00;6:30;IE;Seguimiento correo minsait y adobe;IE70-181
Dev | Documentación integración experience fragments AEM con Target;0,5;2025-03-10 06:30;2025-03-10;06:30;7:00;IE;solicitud permisos target ie;IE70-3
Sesión cliente;1,0;2025-03-10 07:00;2025-03-10;07:00;8:00;IE;"Revisión comentarios y dudas DF - Dynamics - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro

Buenos días.

Muevo la reunión a las 13 horas a petición de Daniel, a";IE70-144
IE-Daily;0,25;2025-03-10 08:00;2025-03-10;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Seguimiento limitaciones api marketo;0,75;2025-03-10 08:15;2025-03-10;08:15;9:00;IE;Documentación Marketo API;IE70-181
Seguimiento limitaciones api marketo;1;2025-03-10 09:00;2025-03-10;09:00;10:00;IE;PoC tiempos desde backend;IE70-181
IE-Planning;1,25;2025-03-10 11:15;2025-03-10;11:15;12:30;IE;"HERA | Propuesta Gestión de Intereses - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortiz Montoya, Sergio <sortiz";IE70-7
IE-Planning;0,5;2025-03-10 12:30;2025-03-10;12:30;13:00;IE;"IE | Leads - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 223 102 877 563
Código de acceso: 8kj2Kr2d
________________________________
Para organizado";IE70-7
Prueba flujo completo Marketo-AEM para eventos;2;2025-03-10 13:30;2025-03-10;13:30;15:30;IE;Creación servició para medir tiempo esperado;IE70-181
Prueba flujo completo Marketo-AEM para eventos;0,5;2025-03-10 15:30;2025-03-10;15:30;16:00;IE;Ajuste rendimiento para llamadas de API;IE70-181
Prueba flujo completo Marketo-AEM para eventos;1,3;2025-03-11 06:00;2025-03-11;06:00;7:15;IE;Se monta repo prueba tiempos repuesta API Marketo con un flujo de 15 programas para sacar promedios;IE70-181
Seguimiento limitaciones api marketo;0,8;2025-03-11 07:15;2025-03-11;07:15;8:00;IE;Prueba caso donde se exceda limite llamadas por segundo a una api de Marketo;IE70-181
IE-Daily;0,25;2025-03-11 08:00;2025-03-11;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
IE-Planning;0,5;2025-03-11 10:30;2025-03-11;10:30;11:00;IE;Ajuste estimación desarrollo;IE70-7
Sesiones de equipo;1;2025-03-11 11:00;2025-03-11;11:00;12:00;IE;Sesión minsait para ver flujo leads;IE70-181
Prueba velocity para uso de custom objects en personalización emails;1,75;2025-03-11 13:00;2025-03-11;13:00;14:45;IE;Se hace prueba;IE70-181
Prueba flujo completo Marketo-AEM para eventos;1,25;2025-03-11 14:45;2025-03-11;14:45;16:00;IE;Prueba;IE70-181
IE-Planning;1,5;2025-03-12 06:30;2025-03-12;06:30;8:00;IE;Revisión documentación para exportación de datos desde Marketo y su integración con servicios externos;IE70-7
IE-Daily;0,25;2025-03-12 08:00;2025-03-12;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesiones de equipo;1;2025-03-12 08:30;2025-03-12;08:30;9:30;IE;Sesión Andrea y Daniel;IE70-181
Seguimiento limitaciones api marketo;1;2025-03-12 09:30;2025-03-12;09:30;10:30;IE;Revisión documentación limites CDP Profile API;IE70-181
Sesiones de equipo;0,5;2025-03-12 10:30;2025-03-12;10:30;11:00;IE;"IE | Doc de preguntas Adobe - Adjunto doc para que revisemos y podamos responderle a Adobe

________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 251 437 169 277
Código de acces";IE70-181
Sesión minsait;1;2025-03-12 11:00;2025-03-12;11:00;12:00;IE;"IE - Alineamiento CR leads - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-181
Pruebas sincronización;1,25;2025-03-12 13:00;2025-03-12;13:00;14:15;IE;Se prueba sincronización nativa oportunidad y custom productos;IE70-181
Pruebas sincronización;1,75;2025-03-12 14:15;2025-03-12;14:15;16:00;IE;Prueba personalización mediante velocity y custom entities en Marketo para emails y segmentación;IE70-181
Sesiones de equipo;1,0;2025-03-13 06:00;2025-03-13;06:00;7:00;IE;Sesión Andrea para definir postura con admisiones;IE70-181
Seguimiento limitaciones api marketo;0,5;2025-03-13 07:00;2025-03-13;07:00;7:30;IE;"Marketo - IE - API limits - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro


_____________________________________________________________________";IE70-181
Sesión cliente;0,5;2025-03-13 07:30;2025-03-13;07:30;8:00;IE;"Gestión de Intereses - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Clara Pizarro Valle <clara.pi";IE70-181
Documento propuesta Catálogo/Forms;1,75;2025-03-13 08:00;2025-03-13;08:00;9:45;IE;Se hace un documento explicando todas las alternativas paso a paso con pros y contras;IE70-181
Sesiones de equipo;0,25;2025-03-13 09:45;2025-03-13;09:45;10:00;IE;Sesión con Daniel;IE70-181
Documento propuesta Catálogo/Forms;0,5;2025-03-13 10:00;2025-03-13;10:00;10:30;IE;Se hace un documento explicando todas las alternativas paso a paso con pros y contras;IE70-181
Documento propuesta Catálogo/Forms;3;2025-03-13 11:00;2025-03-13;11:00;14:00;IE;Peparación documento IE con propuesta Catálogo/Marketo;IE70-181
IE-Planning;1,0;2025-03-14 06:00;2025-03-14;06:00;7:00;IE;Revisión documentación Adobe Forms para apoyar propuesta de minsait;IE70-7
Sesión minsait;0,5;2025-03-14 07:00;2025-03-14;07:00;7:27;IE;"IE - Integración AEM/Marketo Eventos - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-181
IE-Planning;1,0;2025-03-14 07:30;2025-03-14;07:30;8:30;IE;Documentación aem forms;IE70-7
Sesiones de equipo;0,5;2025-03-14 09:30;2025-03-14;09:30;10:00;IE;"IE | Ajustar miro - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 283 982 055 391
Código de acceso: Pn7vi7pU
________________________________
Para organizado";IE70-181
IE-Planning;0,5;2025-03-14 10:00;2025-03-14;10:00;10:30;IE;"IE - Pre Refinamiento - ________________________________
From: Daniel Garac y Gojak <garac.daniel@omni.pro>
Sent: Friday, December 13, 2024 8:41:03 AM (UTC-05:00) Bogota, Lima, Quito, Rio Branco
To: Daniel Garac y Gojak <garac.daniel@omni.pro>; Rafael Buitrago <rafael.buitr";IE70-7
Sesiones de equipo;1,5;2025-03-14 11:30;2025-03-14;11:30;13:00;IE;"IE | change requests marketo - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 217 746 080 30
Código de acceso: Uv7oT9Jk
________________________________
Para organizador";IE70-181
IE-Planning;0,75;2025-03-14 13:00;2025-03-14;13:00;13:45;IE;Busqueda documentación producto ;IE70-7
Prueba registro en CDP de evento Email de Marketo;0,5;2025-03-14 14:30;2025-03-14;14:30;15:00;IE;"IE70-206 | Prueba registro envío email desde Marketo en CDP - ________________________________________________________________________________
Microsoft Teams meeting Need help?
Join: https://teams.microsoft.com/meet/261200921208?p=nk41YUd5n9YzGBKx5t
Meeting ID: 261 200 921 208
Passcode: Kt7E3Bb7
____________";IE70-181
Prueba registro en CDP de evento Email de Marketo;0,5;2025-03-14 15:00;2025-03-14;15:00;15:30;IE;Prueba con Rafa;IE70-181
IE-Planning;0,5;2025-03-14 15:30;2025-03-14;15:30;16:00;IE;Redacción correo adobe;IE70-7
Prueba registro en CDP de evento Email de Marketo;2,0;2025-03-17 06:00;2025-03-17;06:00;8:00;IE;Creación custom objects en Sandbox ie y ajuste api pruebas;IE70-181
IE-Daily;0,25;2025-03-17 08:00;2025-03-17;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Prueba registro en CDP de evento Email de Marketo;0,75;2025-03-17 08:15;2025-03-17;08:15;9:00;IE;Sesión rafa para pruebas cdp;IE70-181
IE-Planning;3,5;2025-03-17 09:00;2025-03-17;09:00;12:30;IE;Sesión Rafa para pruebas diferentes métodos para llevar a CDP los eventos de intereses;IE70-7
IE-Planning;1,5;2025-03-17 13:30;2025-03-17;13:30;15:00;IE;Revisión documentación y pruebas para exportación mediante bulk y creación de nuevas custom activities en Marketo;IE70-7
Dev | Documentación integración experience fragments AEM con Target;1;2025-03-17 15:00;2025-03-17;15:00;16:00;IE;Documentación;IE70-3
Sesiones de equipo;1,0;2025-03-18 06:00;2025-03-18;06:00;7:00;IE;Sesión andrea;IE70-181
Dev | Documentación integración experience fragments AEM con Target;1,0;2025-03-18 07:00;2025-03-18;07:00;8:00;IE;Documentación;IE70-3
IE-Daily;0,25;2025-03-18 08:00;2025-03-18;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Dev | Documentación integración experience fragments AEM con Target;0,25;2025-03-18 08:15;2025-03-18;08:15;8:30;IE;Preparación conexiones desde developer console;IE70-3
Sesiones de equipo;0,25;2025-03-18 08:30;2025-03-18;08:30;8:45;IE;Sesión Daniel y Andrea;IE70-181
Dev | Documentación integración experience fragments AEM con Target;1,75;2025-03-18 08:45;2025-03-18;08:45;10:30;IE;Documentación;IE70-3
Sesión minsait;2;2025-03-18 10:30;2025-03-18;10:30;12:30;IE;"Revisión tratamiento 'admisiones' y 'solicitudes' - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro


_____________________________________________________________________";IE70-181
Sesiones de equipo;0,5;2025-03-18 13:30;2025-03-18;13:30;14:00;IE;Respuesta mail soporte;IE70-181
Dev | Documentación integración experience fragments AEM con Target;1,75;2025-03-18 14:30;2025-03-18;14:30;16:15;IE;Documentación;IE70-3
Sesiones de equipo;1,25;2025-03-18 16:15;2025-03-18;16:15;17:30;IE;Documento implicaciones técnicas nueva propuesta;IE70-181
IE-Planning;1,3;2025-03-19 06:30;2025-03-19;06:30;7:45;IE;Pruebas en Marketo para creación de custom object desde un webhook sin depender de desarrollos;IE70-7
IE-Planning;0,8;2025-03-19 07:45;2025-03-19;07:45;8:30;IE;Sesión con Andrea ara verificar propuesta (fuera de sprint);IE70-7
IE-Planning;0,25;2025-03-19 08:45;2025-03-19;08:45;9:00;IE;"IE70-11 CX | Planning IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 264 476 591 393
Passcode: im2AQ3zZ
________________________________
For organizers: Meeting options
_______";IE70-7
Sesión cliente;1,25;2025-03-19 09:00;2025-03-19;09:00;10:15;IE;"Enfoque 'gestión de leads' y resolución de dudas - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
From: Gonzalez Paredes, Yolanda <";IE70-210
IE-Planning;0,5;2025-03-19 13:30;2025-03-19;13:30;14:00;IE;Revisión documentación entregada a cliente para cdp profiles para tomarla de base para la de ficha 360 del ie;IE70-7
Documentación API CDP Profiles aplicado a Ficha 360;1;2025-03-19 15:00;2025-03-19;15:00;16:00;IE;Documentación api cdp profiles para ficha 360 y montaje ambiente;IE70-142
Sesión cliente;1,0;2025-03-20 06:15;2025-03-20;06:15;7:15;IE;"RV: HERA | Presentación propuesta Gestión de Leads - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



--------Cita original---------
De: Clara Pizarro Valle <clara.piza";IE70-210
Documentación API CDP Profiles aplicado a Ficha 360;0,8;2025-03-20 07:15;2025-03-20;07:15;8:00;IE;Documentación api cdp profiles para ficha 360;IE70-142
IE-Daily;0,25;2025-03-20 08:00;2025-03-20;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesión cliente;1;2025-03-20 08:15;2025-03-20;08:15;9:15;IE;Preparación para presentación de propuesta. Ajuste documento propuesta IE;IE70-210
Sesión cliente;1;2025-03-20 09:15;2025-03-20;09:15;10:15;IE;"HERA | Integración del catálogo de productos D365 con Marketo - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro

Buenos días.

Convocamos esta reunión para que el proveedor presente ";IE70-210
IE-Planning;0,5;2025-03-20 10:15;2025-03-20;10:15;10:45;IE;Ajuste documento propuesta IE (fuera sprint);IE70-7
IE-Planning;1,25;2025-03-20 10:45;2025-03-20;10:45;12:00;IE;Pruebas sobre dudas de funcionamiento de autollamado de Webhook a API de Marketo;IE70-7
IE-Planning;0,5;2025-03-20 13:45;2025-03-20;13:45;14:15;IE;Revisión estimación desarrollo IE (fuera de sprint);IE70-7
IE-Planning;0,667;2025-03-20 14:50;2025-03-20;14:50;15:30;IE;Revisión promedio tiempo necesario para configuración de dbs;IE70-7
Revisión estimaciones change request;2,5;2025-03-21 06:00;2025-03-21;06:00;8:30;IE;Se hacen ajustes a las estimaciones, se hace seguimiento a lo discutido en sesión con cliente. Se envían correos informando;IE70-216
IE-Planning;0,25;2025-03-21 08:30;2025-03-21;08:30;8:45;IE;"IE | Finalizar Arquitectura Global PPT - ________________________________________________________________________________
Reunión de Microsoft Teams ¿Necesita ayuda?
Unirse: https://teams.microsoft.com/meet/239073546686?p=AAcOg54QkCB43v0C3D
Id. de reunión: 239 073 546 686
Código de acceso:";IE70-7
IE-Planning;0,75;2025-03-21 08:45;2025-03-21;08:45;9:30;IE;Sesión con Daniel para ver preguntas sobre IE y para escribir minuta;IE70-7
Marketo | PoC Revenue models;1,0;2025-03-25 06:00;2025-03-25;06:00;7:00;IE;Revisión doc;IE70-3
Revision con Minsait;1,0;2025-03-25 07:00;2025-03-25;07:00;8:00;IE;"Gestión leads estimación final - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro

Aterrizar los desarrollos necesarios en base a la propuesta presentada ";IE70-216
IE-Daily;0,5;2025-03-25 08:00;2025-03-25;08:00;8:30;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Marketo | PoC Revenue models;0,5;2025-03-25 08:30;2025-03-25;08:30;9:00;IE;lectura documentación ;IE70-3
Revision con Minsait;1;2025-03-25 09:00;2025-03-25;09:00;10:00;IE;Sesión minsait;IE70-216
Revisión estimaciones change request;1;2025-03-25 10:30;2025-03-25;10:30;11:30;IE;Sesión QA para ver tiempos y ajuste estimación;IE70-216
Marketo | PoC Revenue models;1,5;2025-03-25 11:30;2025-03-25;11:30;13:00;IE;PoC;IE70-3
Marketo | PoC Revenue models;0,5;2025-03-25 14:00;2025-03-25;14:00;14:30;IE;Poc;IE70-3
Creacion de documento de arquitectura global;1,25;2025-03-25 14:30;2025-03-25;14:30;15:45;IE;"IE70-229 | Revisión flujo procesos - ________________________________________________________________________________
Microsoft Teams meeting Need help?
Join: https://teams.microsoft.com/meet/229632254203?p=AsyrvRbmXZVWPcvKYO
Meeting ID: 229 632 254 203
Passcode: jP37XM3G
____________";IE70-216
Marketo | PoC Revenue models;0,25;2025-03-25 15:45;2025-03-25;15:45;16:00;IE;Poc;IE70-3
Marketo | PoC Revenue models;2,0;2025-03-26 06:00;2025-03-26;06:00;8:00;IE;Montaje en omni americas;IE70-3
IE-Daily;0,25;2025-03-26 08:00;2025-03-26;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Actualización estimaciones desarrollos;0,25;2025-03-26 08:15;2025-03-26;08:15;8:30;IE;ajuste ingles;IE70-210
Revision con Minsait;0,5;2025-03-26 08:30;2025-03-26;08:30;9:00;IE;"IE Project Plan - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 230 432 486 861
Código de acceso: SU2cx6qF
________________________________
Para organizado";IE70-216
Marketo | PoC Revenue models;1;2025-03-26 09:00;2025-03-26;09:00;10:00;IE;Prueba custom fields groups;IE70-3
Revision con Minsait;1;2025-03-26 10:00;2025-03-26;10:00;11:00;IE;"IE - Revisión interfaces - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-216
Creacion de documento de arquitectura global;1,5;2025-03-26 11:00;2025-03-26;11:00;12:30;IE;"IE70-229 | Revision interna Process workflow 'visión global' - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 275 211 739 631
Código de acceso: Ec7k5nu6
________________________________
Para organ";IE70-216
IE-Planning;0,25;2025-03-26 12:30;2025-03-26;12:30;12:45;IE;Powerpoint presentación;IE70-7
IE-Planning;0,25;2025-03-26 13:00;2025-03-26;13:00;13:15;IE;Sesión daniel para planning;IE70-7
Revision con Minsait;0,75;2025-03-26 14:45;2025-03-26;14:45;15:30;IE;Minsait api cdp consulta;IE70-216
Marketo | PoC Revenue models;0,5;2025-03-26 15:30;2025-03-26;15:30;16:00;IE;Continuación poc;IE70-3
Sesión cliente;1,0;2025-03-27 05:00;2025-03-27;05:00;6:00;IE;"HERA | Revisión Ficha 360º - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
From: Clara Pizarro Valle <clara.";IE70-210
Sesión cliente;0,8;2025-03-27 06:15;2025-03-27;06:15;7:00;IE;"HERA | Gestión de eventos - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
From: Clara Pizarro Valle <clara.";IE70-210
Marketo | PoC Revenue models;0,8;2025-03-27 07:15;2025-03-27;07:15;8:00;IE;Creación y revisión field organizers;IE70-3
IE-Daily;0,25;2025-03-27 08:00;2025-03-27;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión estimaciones change request;0,25;2025-03-27 08:15;2025-03-27;08:15;8:30;IE;Sesión con david y andrea para ver estimación por lenguaje;IE70-216
Revisión estimaciones change request;0,5;2025-03-27 08:30;2025-03-27;08:30;9:00;IE;Sesión con David y Andrea para revisar consulta minsait sobre estimación change request. Ajuste estimación;IE70-216
Revision con Minsait;1;2025-03-27 09:00;2025-03-27;09:00;10:00;IE;"Revisión documento 'visión global' - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro


_____________________________________________________________________";IE70-216
Marketo | PoC Revenue models;0,75;2025-03-27 10:00;2025-03-27;10:00;10:45;IE;Búsqueda solución problema para uso de custom field groups en el reporting;IE70-3
Creacion de documento de arquitectura global;0,25;2025-03-27 10:45;2025-03-27;10:45;11:00;IE;Revisión slide events;IE70-216
IE-Planning;1;2025-03-27 11:00;2025-03-27;11:00;12:00;IE;"FW: HERA | Alternativas conexión catálogo productos D365 con Marketo - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



-----Original Appointment-----
From: Clara Pizarro Valle
Sent: ju";IE70-7
Crear arquitectura global final;1;2025-03-27 12:00;2025-03-27;12:00;13:00;IE;Ajuste miro arquitectura;IE70-3
Crear arquitectura global final;1;2025-03-27 14:00;2025-03-27;14:00;15:00;IE;Ajuste miro arquitectura final;IE70-3
Marketo | PoC Revenue models;1,8;2025-03-28 06:00;2025-03-28;06:00;7:45;IE;Prueba con flujo completo de los diferentes stages de un revenue model mediante lead scoring y form events;IE70-3
Marketo | PoC Revenue models;0,8;2025-03-28 07:45;2025-03-28;07:45;8:30;IE;Poc marketo rcm;IE70-3
IE-Planning;0,75;2025-03-28 08:30;2025-03-28;08:30;9:15;IE;"IE70-11 | Revision de planning y responsables por tarea - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 246 117 590 920
Código de acceso: ho7Pn9uK
________________________________
Para organ";IE70-7
Marketo | PoC Revenue models;0,75;2025-03-28 09:15;2025-03-28;09:15;10:00;IE;Montaje ciclo en sandbox y pruebas con diferentes states y triggers;IE70-3
IE-Planning;0,5;2025-03-28 10:00;2025-03-28;10:00;10:30;IE;"IE - Pre Refinamiento - ________________________________
From: Daniel Garac y Gojak <garac.daniel@omni.pro>
Sent: Friday, December 13, 2024 8:41:03 AM (UTC-05:00) Bogota, Lima, Quito, Rio Branco
To: Daniel Garac y Gojak <garac.daniel@omni.pro>; Rafael Buitrago <rafael.buitr";IE70-7
Marketo | PoC Revenue models;1;2025-03-28 10:30;2025-03-28;10:30;11:30;IE;poc rcm;IE70-3
Marketo | PoC Revenue models;1,5;2025-03-28 11:30;2025-03-28;11:30;13:00;IE;Revisión documentación para flujo completo ;IE70-3
Marketo | PoC Revenue models;2,0;2025-03-31 06:00;2025-03-31;06:00;8:00;IE;Creación flujo similar al del IE, pruebas de flujo direccional del modelo, pruebas control smart list;IE70-3
IE-Daily;0,25;2025-03-31 08:00;2025-03-31;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Marketo | PoC Revenue models;0,75;2025-03-31 08:15;2025-03-31;08:15;9:00;IE;seguimiento error reporte de success path del rcm;IE70-3
Marketo | PoC Revenue models;1;2025-03-31 10:15;2025-03-31;10:15;11:15;IE;Sesión Andrea para ver problemas de forms y de rcm;IE70-3
Marketo | PoC Revenue models;1,25;2025-03-31 11:15;2025-03-31;11:15;12:30;IE;Prueba visualización cambios desde CDP, prueba salto de estados de rcm, prueba control estado con smart list;IE70-3
Marketo | Documentacion script Dynamic chat;1;2025-03-31 13:30;2025-03-31;13:30;14:30;IE;Documentación y prueba del script;IE70-3
Marketo | PoC Revenue models;0,8;2025-04-01 06:00;2025-04-01;06:00;6:45;IE;Seguimiento problema reporte succcess path analyzer y pruebas. Prueba de multiples reglas en un mismo state para veirifcar funcionamiento de salto de states;IE70-3
Marketo | PoC Revenue models;1,3;2025-04-01 07:15;2025-04-01;07:15;8:30;IE;fin poc;IE70-3
